BTS ASCII format

Type:         	3D vector tracks
Measure unit: 	%

Tracks:       	8
Frequency:    	100 Hz
Frames:       	516
Start time:   	0.000

 Frame	 Time	 vRLASIS.X	 vRLASIS.Y	 vRLASIS.Z	 vLRASIS.X	 vLRASIS.Y	 vLRASIS.Z	    vRFz.X	    vRFz.Y	    vRFz.Z	    vLFz.X	    vLFz.Y	    vLFz.Z	    vRFx.X	    vRFx.Y	    vRFx.Z	    vRFy.X	    vRFy.Y	    vRFy.Z	    vLFx.X	    vLFx.Y	    vLFx.Z	    vLFy.X	    vLFy.Y	    vLFy.Z	
    66	0.660	  6.687112	  9.826371	-99.291107	 -6.687112	 -9.826371	 99.291107	 21.327326	 -2.749081	-97.660568	-12.103985	  2.745358	-99.226791	-91.220978	  2.078034	-40.919628	  3.222436	 99.925812	 -2.109123	-98.087204	 -0.651089	 19.454489	 -0.112272	 99.961304	  2.779375	
    67	0.670	  6.676807	  9.819668	-99.292465	 -6.676807	 -9.819668	 99.292465	 21.316740	 -2.754182	-97.662743	-12.132065	  2.748305	-99.223282	-91.220970	  2.077196	-40.919674	  3.223852	 99.925652	 -2.114331	-98.086365	 -0.673420	 19.457943	 -0.133796	 99.961121	  2.785101	
    68	0.680	  6.676435	  9.815567	-99.292900	 -6.676435	 -9.815567	 99.292900	 21.397266	 -2.760356	-97.644958	-12.081333	  2.740407	-99.229691	-91.224319	  2.072647	-40.912445	  3.220707	 99.925652	 -2.119066	-98.087669	 -0.668913	 19.451523	 -0.131076	 99.961357	  2.776571	
    69	0.690	  6.660309	  9.814243	-99.294113	 -6.660309	 -9.814243	 99.294113	 21.443226	 -2.750505	-97.635147	-12.138554	  2.741648	-99.222672	-91.227722	  2.079563	-40.904507	  3.222685	 99.925842	 -2.107251	-98.087555	 -0.679470	 19.451733	 -0.141279	 99.961266	  2.779340	
    70	0.700	  6.672601	  9.812049	-99.293503	 -6.672601	 -9.812049	 99.293503	 21.413708	 -2.746981	-97.641731	-12.238153	  2.756118	-99.210037	-91.229591	  2.063744	-40.901138	  3.205662	 99.926369	 -2.108225	-98.088745	 -0.694150	 19.445198	 -0.153143	 99.960793	  2.795865	
    71	0.710	  6.688240	  9.812078	-99.292450	 -6.688240	 -9.812078	 99.292450	 21.397417	 -2.741997	-97.645439	-12.220009	  2.757476	-99.212234	-91.224442	  2.052010	-40.913212	  3.192495	 99.926826	 -2.106478	-98.092804	 -0.676988	 19.425318	 -0.136371	 99.960838	  2.795079	
    72	0.720	  6.693701	  9.816034	-99.291687	 -6.693701	 -9.816034	 99.291687	 21.382174	 -2.744695	-97.648705	-12.213258	  2.757493	-99.213066	-91.222328	  2.056315	-40.917698	  3.198246	 99.926605	 -2.108400	-98.090782	 -0.677328	 19.435493	 -0.136431	 99.960838	  2.795071	
    73	0.730	  6.693920	  9.825361	-99.290756	 -6.693920	 -9.825361	 99.290756	 21.384951	 -2.742790	-97.648148	-12.212465	  2.760474	-99.213081	-91.222206	  2.071537	-40.917198	  3.212583	 99.926254	 -2.103223	-98.089615	 -0.679614	 19.441322	 -0.137964	 99.960747	  2.798259	
    74	0.740	  6.678649	  9.825580	-99.291763	 -6.678649	 -9.825580	 99.291763	 21.442978	 -2.745093	-97.635361	-12.197492	  2.759347	-99.214951	-91.232269	  2.081229	-40.894272	  3.221729	 99.925980	 -2.101929	-98.097160	 -0.665750	 19.403734	 -0.125442	 99.960838	  2.795513	
    75	0.750	  6.666518	  9.837408	-99.291405	 -6.666518	 -9.837408	 99.291405	 21.513824	 -2.758684	-97.619392	-12.174979	  2.755159	-99.217834	-91.232491	  2.082976	-40.893692	  3.228300	 99.925552	 -2.112387	-98.097084	 -0.660939	 19.404247	 -0.121479	 99.960976	  2.790701	
    76	0.760	  6.659033	  9.832772	-99.292366	 -6.659033	 -9.832772	 99.292366	 21.543756	 -2.760025	-97.612747	-12.234714	  2.763072	-99.210266	-91.215454	  2.096171	-40.931000	  3.242989	 99.925140	 -2.109659	-98.096748	 -0.661389	 19.405958	 -0.120283	 99.960754	  2.798807	
